word		translation	chapter
diary		Tagebuch	Open World (2015) - Unit 1 - 01 Keywords
hostel		Herberge, (billiges) Hotel	Open World (2015) - Unit 1 - 01 Keywords
kilt		Schottenrock, Kilt	Open World (2015) - Unit 1 - 01 Keywords
railway		Eisenbahn	Open World (2015) - Unit 1 - 01 Keywords
reception		Empfang, Rezeption	Open World (2015) - Unit 1 - 01 Keywords
Scotland		Schottland	Open World (2015) - Unit 1 - 01 Keywords
tartan		Tartan, Schottenmuster	Open World (2015) - Unit 1 - 01 Keywords
thief		Dieb/-in	Open World (2015) - Unit 1 - 01 Keywords
ticket		Eintrittskarte, Billett	Open World (2015) - Unit 1 - 01 Keywords
tour		Führung, Rundgang	Open World (2015) - Unit 1 - 01 Keywords
each other		einander	Open World (2015) - Unit 1 - 02 English and me
go places		es weit bringen	Open World (2015) - Unit 1 - 02 English and me
journey		Reise	Open World (2015) - Unit 1 - 02 English and me
lesson		Lektion	Open World (2015) - Unit 1 - 02 English and me
none		kein(e, -er, -es)	Open World (2015) - Unit 1 - 02 English and me
not at all		überhaupt nicht	Open World (2015) - Unit 1 - 02 English and me
one another		einander	Open World (2015) - Unit 1 - 02 English and me
surf the internet		im Internet surfen	Open World (2015) - Unit 1 - 02 English and me
Switzerland		Schweiz	Open World (2015) - Unit 1 - 02 English and me
action scene		Actionszene	Open World (2015) - Unit 1 - 03 Ceud mile failte
besides		neben	Open World (2015) - Unit 1 - 03 Ceud mile failte
copy		kopieren, abschreiben	Open World (2015) - Unit 1 - 03 Ceud mile failte
expression		Ausdruck, Wendung	Open World (2015) - Unit 1 - 03 Ceud mile failte
I spy with my little eye		ich sehe was, was du nicht siehst	Open World (2015) - Unit 1 - 03 Ceud mile failte
jog		joggen	Open World (2015) - Unit 1 - 03 Ceud mile failte
letter box		Briefkasten	Open World (2015) - Unit 1 - 03 Ceud mile failte
over there		dort drüben	Open World (2015) - Unit 1 - 03 Ceud mile failte
Scottish		schottisch	Open World (2015) - Unit 1 - 03 Ceud mile failte
Scottish Gaelic		Schottisch-Gälisch (Sprache)	Open World (2015) - Unit 1 - 03 Ceud mile failte
Basle		Basel	Open World (2015) - Unit 1 - 04 Discover the city
beauty		Schönheit	Open World (2015) - Unit 1 - 04 Discover the city
bike		hier: Fahrrad	Open World (2015) - Unit 1 - 04 Discover the city
book ahead		im Voraus buchen	Open World (2015) - Unit 1 - 04 Discover the city
brochure		Broschüre	Open World (2015) - Unit 1 - 04 Discover the city
castle		Schloss, Burg	Open World (2015) - Unit 1 - 04 Discover the city
cinema		Kino	Open World (2015) - Unit 1 - 04 Discover the city
comparative form		Komparativ	Open World (2015) - Unit 1 - 04 Discover the city
concert		Konzert	Open World (2015) - Unit 1 - 04 Discover the city
dear		Liebe(r,s) / Sehr geehrte(r,s) (Briefanrede)	Open World (2015) - Unit 1 - 04 Discover the city
discover		entdecken	Open World (2015) - Unit 1 - 04 Discover the city
double-decker		Doppeldecker(bus)	Open World (2015) - Unit 1 - 04 Discover the city
entry		hierː Eintrag (in einem Wörterbuch)	Open World (2015) - Unit 1 - 04 Discover the city
exchange		austauschen, umtauschen	Open World (2015) - Unit 1 - 04 Discover the city
excuse		entschuldigen	Open World (2015) - Unit 1 - 04 Discover the city
expensive		teuer	Open World (2015) - Unit 1 - 04 Discover the city
famous		berühmt	Open World (2015) - Unit 1 - 04 Discover the city
fan		Fan, Bewunderer/-in	Open World (2015) - Unit 1 - 04 Discover the city
fantastic		fantastisch	Open World (2015) - Unit 1 - 04 Discover the city
flight		Flug	Open World (2015) - Unit 1 - 04 Discover the city
ghost		Geist	Open World (2015) - Unit 1 - 04 Discover the city
go on a trip to		eine Reise machen, einen Ausflug machen	Open World (2015) - Unit 1 - 04 Discover the city
guide		(Fremden-)Führer	Open World (2015) - Unit 1 - 04 Discover the city
have a picnic		ein Picknick machen	Open World (2015) - Unit 1 - 04 Discover the city
Highlands (pl)		(schottisches) Hochland, Highlands	Open World (2015) - Unit 1 - 04 Discover the city
Iceland		Island	Open World (2015) - Unit 1 - 04 Discover the city
left		links	Open World (2015) - Unit 1 - 04 Discover the city
live music		Livemusik	Open World (2015) - Unit 1 - 04 Discover the city
metre		Meter	Open World (2015) - Unit 1 - 04 Discover the city
Munich		München	Open World (2015) - Unit 1 - 04 Discover the city
